FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area,ID_COUNTY,ID_TRACT_00,ID_TRACT_10,ID_TRACT_20,ID_BLKGRP_00,ID_BLKGRP_10,ID_BLKGRP_20
874,10006378,PITTSBURGH CCC,535 SOUTH AIKEN AVENUE,PITTSBURGH,PA,15232,-999,(412) 681-5204,STATE,OPEN,0,ALLEGHENY,42003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.cor.pa.gov/Facilities/CommunityCorrections/Documents/Region%201.pdf,2017-10-10T00:00:00Z,IMAGERY/OTHER,2020-01-30T00:00:00Z,http://www.cor.pa.gov/Facilities/CommunityCorrections/Pages/default.aspx#.VmXGTrgrJaQ,MINIMUM,-999,9.41211623428e-4,{66016C07-A46A-4D7E-BFE9-28A217D5DE8A},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,9.412116234276699e-4,4.00746935395e-8,42003,42003070900,42003070900,42003070900,420030709001,420030709001,420030709001
1016,10003073,SCI MAHANOY,301 MOREA RD,FRACKVILLE,PA,17932,-999,(570) 773-2158,STATE,OPEN,2363,SCHUYLKILL,42107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cor.pa.gov/About%20Us/Statistics/Pages/Monthly-Population-Reports.aspx,2017-11-30T00:00:00Z,IMAGERY/OTHER,2020-01-30T00:00:00Z,http://www.cor.pa.gov/Facilities/StatePrisons/Pages/default.aspx#.VmGvurgrJaT,MEDIUM,2304,0.0236605289238,{6C102FB4-812B-4787-B3FF-4C4C7A9F9F34},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.02366052892384116,2.81475390242e-5,42107,42107000400,42107000400,42107000400,421070004002,421070004003,421070004003
1081,10005043,BREATHITT REGIONAL JUVENILE DETENTION CENTER,2725 STATE HIGHWAY 30 WEST,JACKSON,KY,41339,-999,(606) 295-2350,STATE,OPEN,20,BREATHITT,21025,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,2017-04-07T00:00:00Z,IMAGERY/OTHER,2019-12-11T00:00:00Z,https://djj.ky.gov/Facilities/Pages/Detention-Centers.aspx,JUVENILE,47,0.00267039752512,{39E7E112-599E-47CF-8C1D-F03237D1F15C},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0026703975251155198,4.43802598528e-7,21025,21025980300,21025920300,21025920302,210259803005,210259203003,210259203021
1152,10003294,TAZEWELL CORRECTIONAL UNIT #31,1245 CLEARFORK RD,TAZEWELL,VA,24651,-999,NOT AVAILABLE,STATE,CLOSED,0,TAZEWELL,51185,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.publicschoolreview.com/tazewell-correctional-center-unit-31-profile,2009-01-01T00:00:00Z,IMAGERY/OTHER,2020-02-24T00:00:00Z,https://www.publicschoolreview.com/tazewell-correctional-center-unit-31-profile,MINIMUM,-999,0.00533099913951,{8B49713A-6E4D-40AA-841A-85153FBF8969},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.005330999139506871,9.98773828991e-7,51185,51185991100,51185021100,51185021102,511859911004,511850211003,511850211021
1290,10004176,ALEXANDER REGIONAL JUVENILE DETENTION CENTER,928 NC HWY 16 S,TAYLORSVILLE,NC,28681,-999,(828) 632-1141,STATE,OPEN,-999,ALEXANDER,37003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Juvenile-Justice/Juvenile-Facility-Operations/Juvenile-Detention-Centers,2017-12-12T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers,JUVENILE,24,0.00416638361681,{05CAE0C3-6479-448A-9FF3-0AC5D64C58E5},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.004166383616808895,8.7282061534e-7,37003,37003040400,37003040400,37003040400,370030404002,370030404002,370030404002
1318,10001544,GREEN RIDGE YOUTH CENTER,10700 15 MILE CREEK RD,FLINTSTONE,MD,21530,-999,(301) 478-2930,STATE,OPEN,29,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,https://djs.maryland.gov/Pages/facilities/Green-Ridge-Youth-Center.aspx,2017-10-13T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://www.djs.state.md.us/Pages/facilities/index.aspx,JUVENILE,40,0.00645593958146,{383CFA41-5298-4B0F-ACFD-329204F9AB12},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0064559395814573,2.39760732344e-6,24001,24001000100,24001000100,24001000100,240010001002,240010001002,240010001002
1361,10001023,ALEXANDER CORRECTIONAL INSTITUTION,633 OLD LANDFILL RD,TAYLORSVILLE,NC,28681,-999,(828) 632-1331,STATE,OPEN,1180,ALEXANDER,37003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Alexander-Correctional-Institution,2017-10-31T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities,CLOSE,1180,0.0174076171778,{5B13B789-ED10-47BE-AA48-DA68814121D5},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.01740761717781899,1.11571484467e-5,37003,37003040600,37003040600,37003040600,370030406001,370030406001,370030406003
1439,10001548,MARYLAND CORRECTIONAL INSTITUTION - HAGERSTOWN,18601 ROXBURY RD,HAGERSTOWN,MD,21746,-999,(240) 420-1000,STATE,OPEN,1913,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://dpscs.maryland.gov/locations/mcih.shtml,MEDIUM,1800,0.0194191374101,{46BDC384-EF23-426E-B7C2-DEBF098DD41A},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.01941913741007482,1.70519354058e-5,24043,24043011000,24043011000,24043011000,240430110003,240430110003,240430110001
1446,10006217,SWANNANOA CORRECTIONAL CENTER FOR WOMEN,55 LAKE EDEN ROAD,BLACK MOUNTAIN,NC,28711,-999,(828) 259-6000,STATE,OPEN,360,BUNCOMBE,37021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Swannanoa-Correctional-Center-for-Women,2017-10-31T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Swannanoa-Correctional-Center-for-Women,MINIMUM,366,0.0276161892856,{F41A28B1-681D-45BE-A5AF-C26844883803},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.027616189285621776,3.78529734808e-5,37021,37021003101,37021003104,37021003108,370210031011,370210031041,370210031081
1461,10006201,FCI HAZELTON,1640 SKY VIEW DR.,BRUCETON MILLS,WV,26525,-999,(304) 379-1500,FEDERAL,OPEN,1337,PRESTON,54077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haf/,2016-02-16T00:00:00Z,IMAGERY/OTHER,2020-03-03T00:00:00Z,https://www.bop.gov/locations/institutions/haf/,MEDIUM,1152,0.0182175252044,{BC287968-1314-4770-BCEE-2D7B087E2E86},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.01821752520439902,2.05780444498e-5,54077,54077963800,54077963800,54077963801,540779638001,540779638001,540779638012
1463,10001546,MARYLAND CORRECTIONAL TRAINING CENTER,18800 ROXBURY RD,HAGERSTOWN,MD,21746,-999,(240) 420-1601,STATE,OPEN,2436,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://dpscs.maryland.gov/locations/mctc.shtml,MEDIUM,2417,0.0205239359724,{63213AF5-AD82-415C-9DD4-8CFC6BF4A6FA},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.020523935972379642,2.24858359321e-5,24043,24043011000,24043011000,24043011000,240430110001,240430110001,240430110001
1474,10001543,NORTH BRANCH CORRECTIONAL INSTITUTION,14100 MCMULLEN HWY SW,CUMBERLAND,MD,21502,-999,(301) 729-7400,STATE,OPEN,1252,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://dpscs.maryland.gov/locations/nbci.shtml,MAXIMUM,1400,0.0170223564867,{1F16A0CA-D26E-4C66-9051-39277194078D},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0170223564866533,1.38381460208e-5,24001,24001001300,24001001300,24001001300,240010013002,240010013002,240010013002
1475,10002639,BUNCOMBE CORRECTIONAL CENTER,HWY 251 N,ASHEVILLE,NC,28814,-999,(828) 645-7630,STATE,CLOSED,0,BUNCOMBE,37021,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www2.ncdps.gov/Index2.cfm?a=000003,002240,002324",2015-11-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,"https://www.ncdps.gov/Index2.cfm?a=000003,002240,002324",MINIMUM,182,0.00301523216185,{52C0819E-3F8E-4C1E-9749-8B3D3364FD49},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0030152321618458424,3.97078108185e-7,37021,37021002700,37021002701,37021002701,370210027002,370210027012,370210027013
1476,10004153,WILKES CORRECTIONAL CENTER,404 STATESVILLE RD,NORTH WILKESBORO,NC,28659,-999,(336) 667-4533,STATE,OPEN,266,WILKES,37193,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wilkes-Correctional-Center,2017-10-31T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wilkes-Correctional-Center,MINIMUM,268,0.00463813982198,{563CF33C-EDED-48F1-B746-FF934AE36C2B},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.004638139821979451,1.02441524538e-6,37193,37193961100,37193961100,37193961100,371939611002,371939611002,371939611002
1490,10001542,WESTERN CORRECTIONAL INSTITUTION,13800 MCMULLEN HWY SW,CUMBERLAND,MD,21502,-999,(301) 729-7000,STATE,OPEN,1606,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,http://www.dpscs.maryland.gov/locations/wci.shtml,MAXIMUM,1630,0.0184885024451,{9520AAF1-BFFB-47A0-8FB8-0B814494AE87},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.01848850244510617,1.63082556964e-5,24001,24001001300,24001001300,24001001300,240010013002,240010013002,240010013002
1496,10004740,BACKBONE MOUNTAIN YOUTH CENTER,124 CAMP 4 ROAD,SWANTON,MD,21561,-999,(301) 359-9190,STATE,OPEN,25,GARRETT,24023,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.djs.state.md.us/Pages/Publications.aspx, http://www.djs.state.md.us/Pages/facilities/index.aspx",2017-10-13T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,https://djs.maryland.gov/Pages/facilities/Backbone-Mountain-Youth-Center.aspx,JUVENILE,48,0.00898643855097,{59952A4C-5959-4B3E-8F96-C176E34C82CA},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.00898643855096813,2.81113867987e-6,24023,24023000400,24023000400,24023000400,240230004001,240230004001,240230004001
1516,10004741,MEADOW MOUNTAIN YOUTH CENTER,234 RECOVERY ROAD,GRANTSVILLE,MD,21535,-999,(301) 895-5669,STATE,OPEN,22,GARRETT,24023,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.djs.state.md.us/Pages/Publications.aspx, http://www.djs.state.md.us/Pages/facilities/index.aspx",2017-10-13T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,https://djs.maryland.gov/Pages/facilities/Meadow-Mountain-Youth-Center.aspx,JUVENILE,40,0.00554643000994,{EC7473E9-8367-43B8-9BA3-B8B70C0D8E43},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.005546430009935905,1.59569081254e-6,24023,24023000300,24023000300,24023000300,240230003002,240230003002,240230003002
1518,10004742,SAVAGE MOUNTAIN YOUTH CENTER,164 FREEDOM LANE,LONACONING,MD,21539,-999,(301) 463-2244,STATE,OPEN,10,GARRETT,24023,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.djs.state.md.us/Pages/Publications.aspx, http://www.djs.state.md.us/Pages/facilities/index.aspx",2017-10-13T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,https://djs.maryland.gov/Pages/facilities/Savage-Mountain-Youth-Center.aspx,JUVENILE,36,0.009468276079,{6D176305-E584-4B3B-8EDA-B3BB73ED82B0},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.009468276078997934,4.20495380545e-6,24023,24023000300,24023000300,24023000300,240230003002,240230003002,240230003002
1526,10006348,BURKE CRV CENTER,5161 WESTERN AVE,MORGANTON,NC,28655,-999,(828) 433-4036,STATE,OPEN,155,BURKE,37023,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/adult-corrections/community-corrections/confinement-in-response-to-violation-crv,2017-10-31T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/adult-corrections/community-corrections/confinement-in-response-to-violation-crv,MINIMUM,248,0.00542245918221,{AB37642F-3DFC-4C68-A4BE-4004D720CA02},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.005422459182212266,1.8044199419e-6,37023,37023021301,37023021301,37023021301,370230213013,370230213013,370230213014
1530,10004181,MARION MINIMUM SECURITY UNIT,4019 STATE HWY 226 S,MARION,NC,28752,-999,(828) 659-7810,STATE,OPEN,-999,MCDOWELL,37111,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities,2017-12-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities,MINIMUM,116,0.00759372383001,{9F6E9852-88EC-4D1A-A017-0818D841DE37},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0075937238300115995,1.62550114798e-6,37111,37111970900,37111970901,37111970903,371119709003,371119709011,371119709031
1536,10001773,BLACK MOUNTAIN CORRECTIONAL CENTER FOR WOMEN,1449 N FORK RD,BLACK MOUNTAIN,NC,28711,-999,NOT AVAILABLE,STATE,CLOSED,0,BUNCOMBE,37021,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www2.ncdps.gov/Index2.cfm?a=000003,002240,002324",2015-11-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,"https://www.ncdps.gov/Index2.cfm?a=000003,002240,002324",MINIMUM,80,0.00604073126148,{42A49449-752A-4DF4-BAFA-9F3A9976E935},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.006040731261481906,1.98443918234e-6,37021,37021003101,37021003104,37021003108,370210031011,370210031041,370210031081
1539,10004188,WESTERN AREA MULTIPURPOSE JUVENILE CRISIS AND ASSESMENT CENTER,20 LEES CREEK RD,ASHEVILLE,NC,28806,-999,(828) 338-8340,STATE,OPEN,-999,BUNCOMBE,37021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.mhfc.org/types-of-adoption/,2016-08-22T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.mhfc.org/types-of-adoption/,JUVENILE,4,0.0026098858026,{4B829EC5-6421-4BDD-8A07-F666CDED5701},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.002609885802601849,4.45839801211e-7,37021,37021002602,37021002607,37021002607,370210026026,370210026073,370210026073
1556,10004179,WESTERN YOUTH INSTITUTION,5155 WESTERN AVE,MORGANTON,NC,28655,-999,NOT AVAILABLE,STATE,CLOSED,0,BURKE,37023,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/adult-corrections/prisons/closed-prisons,2015-11-13T00:00:00Z,IMAGERY/OTHER,2020-02-13T00:00:00Z,https://www.ncdps.gov/adult-corrections/prisons/closed-prisons,JUVENILE,785,0.0110546684524,{CBA9FA7B-91C1-48A1-BB91-C3E319738D4E},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.011054668452400563,6.72806932776e-6,37023,37023021301,37023021301,37023021301,370230213013,370230213013,370230213014
1559,10000915,WESTERN MARYLAND CHILDREN'S CENTER,18420 ROXBURY RD,HAGERSTOWN,MD,21740,-999,(301) 745-6071,STATE,OPEN,20,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.djs.state.md.us/Pages/Publications.aspx, http://www.djs.state.md.us/Pages/facilities/index.aspx",2017-10-13T00:00:00Z,IMAGERY/OTHER,2019-12-16T00:00:00Z,https://djs.maryland.gov/Pages/facilities/Western-Maryland-Children-Center.aspx,JUVENILE,24,0.00355651201977,{C1397766-16AE-4226-BCB0-6B388F18133E},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.0035565120197694486,5.31374667305e-7,24043,24043011000,24043011000,24043011000,240430110001,240430110001,240430110001
1566,10003091,SCI PITTSBURGH,3001 BEAVER AVE,PITTSBURGH,PA,15233,-999,(412) 761-1955,STATE,CLOSED,0,ALLEGHENY,42003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.post-gazette.com/local/city/2017/06/09/SCI-Pittsburgh-closing-western-penitentiary-closure-state-prison-pa/stories/201706070175,2018-01-04T00:00:00Z,IMAGERY/OTHER,2020-01-30T00:00:00Z,http://www.cor.pa.gov/Facilities/StatePrisons/Pages/default.aspx#.VmGlOLgrJaR,MINIMUM,1699,0.0110900410643,{923BCEE7-405D-4728-AE16-D196368A34F3},2022-01-07T15:27:25Z,HostedByHIFLD,2022-01-07T15:27:25Z,HostedByHIFLD,0.011090041064260444,5.87792618543e-6,42003,42003270400,42003980900,42003980900,420032704001,420039809001,420039809001
