OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO,ARC,ID_COUNTY,ID_TRACT_00,ID_TRACT_10,ID_TRACT_20,ID_BLKGRP_00,ID_BLKGRP_10,ID_BLKGRP_20
105,391981,RUMPKE WASTE INC COLUMBUS TRANSFER & RECYCLING FACILITY,1191 FIELDS AVE,COLUMBUS,OH,43201,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,FRANKLIN,39049,USA,39.9885915946264,-82.9931726819736,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"RUMPKE WASTE, INC.",NOT AVAILABLE,SWTF018457,not ARC,39049,NA,NA,NA,NA,NA,NA
106,392001,LOCAL WASTE SERVICES INC,1300 S COLUMBUS AIRPORT RD,COLUMBUS,OH,43207,NOT AVAILABLE,(614) 409-9375,TRANSFER,OPEN,FRANKLIN,39049,USA,39.8831505993207,-82.9667624865995,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,LOCAL WASTE SERVICES LTD,NOT AVAILABLE,SWTF020088,not ARC,39049,NA,NA,NA,NA,NA,NA
109,392013,REPUBLIC SERVICES INC REYNOLDS AVE TRANSFER FACILITY,821 REYNOLDS AVE,COLUMBUS,OH,43201,NOT AVAILABLE,(614) 353-2083,TRANSFER,OPEN,FRANKLIN,39049,USA,39.9804158633015,-82.9823571292781,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,REPUBLIC SERVICES,NOT AVAILABLE,SWTF018398,not ARC,39049,NA,NA,NA,NA,NA,NA
110,392021,WASTE MANAGEMENT OF OHIO INC,9954 OLD STATE RD,CHARDON,OH,44024,NOT AVAILABLE,(419) 549-0448,TRANSFER,OPEN,GEAUGA,39055,USA,41.5999130793252,-81.144297356238,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,UNIVERSAL DISPOSAL INC.,NOT AVAILABLE,SWTF018464,not ARC,39055,NA,NA,NA,NA,NA,NA
112,392028,"WASTE MANAGEMENT OF OHIO, FAIRBORN HAULING",1700 N BROAD ST,FAIRBORN,OH,45324,NOT AVAILABLE,(937) 318-5401,TRANSFER,OPEN,GREENE,39057,USA,39.8400857897275,-84.0018974393153,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"WASTE MANAGEMENT OF OHIO, FAIRBORN HAULING",NOT AVAILABLE,SWTF018400,not ARC,39057,NA,NA,NA,NA,NA,NA
114,391976,REPUBLIC SERVICES CINCINNATI TRANSFER FACILITY,5701 ESTE AVE,CINCINNATI,OH,45232,NOT AVAILABLE,(800) 543-1339,TRANSFER,OPEN,HAMILTON,39061,USA,39.1861467577667,-84.5015643537119,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,REPUBLIC SERVICES OF OHIO HAULING LLC,NOT AVAILABLE,SWTF018401,not ARC,39061,NA,NA,NA,NA,NA,NA
115,391985,REPUBLIC SERVICES EVENDALE TRANSFER FACILITY,10751 EVENDALE DR,CINCINNATI,OH,45241,NOT AVAILABLE,(800) 543-1339,TRANSFER,OPEN,HAMILTON,39061,USA,39.2634828806305,-84.4364517864208,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,REPUBLIC SERVICES OF OHIO HAULING LLC,NOT AVAILABLE,SWTF018448,not ARC,39061,NA,NA,NA,NA,NA,NA
116,391992,HURON COUNTY SOLID WASTE FACILITY,2415 TOWNLINE RD 131 W,WILLARD,OH,44847,NOT AVAILABLE,(419) 668-3092,TRANSFER,OPEN,HURON,39077,USA,41.1406131396847,-82.6762104525503,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,HURON COUNTY COMMISSIONERS,NOT AVAILABLE,SWTF018403,not ARC,39077,NA,NA,NA,NA,NA,NA
120,392011,REPUBLIC SERVICES MOUNT VERNON TRANSFER FACILITY,107 TILDEN AVE,MOUNT VERNON,OH,43050,NOT AVAILABLE,(740) 397-2754,TRANSFER,OPEN,KNOX,39083,USA,40.4047697184478,-82.496960253313,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,ALLIED WASTE (REPUBLIC SERVICES),NOT AVAILABLE,SWTF018404,not ARC,39083,NA,NA,NA,NA,NA,NA
126,392003,MARION COUNTY SOLID WASTE TRANSFER FACILITY,1564 VICTORY RD,MARION,OH,43302,NOT AVAILABLE,(740) 387-0394,TRANSFER,OPEN,MARION,39101,USA,40.6175259015992,-83.099437708983,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,MARION COUNTY SOLID WASTE TRANSFER FACILITY,NOT AVAILABLE,SWTF018405,not ARC,39101,NA,NA,NA,NA,NA,NA
128,392004,MEDINA COUNTY CENTRAL PROCESSING FACILITY,8700 LAKE RD,SEVILLE,OH,44273,NOT AVAILABLE,(330) 410-5573,TRANSFER,OPEN,MEDINA,39103,USA,41.0358890272569,-81.9089397934367,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,MEDINA COUNTY SOLID WASTE DISTRICT,NOT AVAILABLE,SWTF018406,not ARC,39103,NA,NA,NA,NA,NA,NA
130,392023,WADSWORTH SOLID WASTE TRANSFER FACILITY,165 AUBLE ST,WADSWORTH,OH,44281,NOT AVAILABLE,(330) 335-2847,TRANSFER,OPEN,MEDINA,39103,USA,41.0237226883514,-81.7210095581445,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,CITY OF WADSWORTH,NOT AVAILABLE,SWTF018407,not ARC,39103,NA,NA,NA,NA,NA,NA
131,392002,MAHARG INC SOLID WASTE TRANSFER FACILITY,3726 MONROE RD,CELINA,OH,45822,NOT AVAILABLE,(419) 586-3130,TRANSFER,OPEN,MERCER,39107,USA,40.5306122327684,-84.6595095138529,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,MICHAEL I. MAHARG,NOT AVAILABLE,SWTF018446,not ARC,39107,NA,NA,NA,NA,NA,NA
132,392006,MIAMI COUNTY SOLID WASTE & RECYCLING FACILITY,2200 N CO RD 25 A,TROY,OH,45373,NOT AVAILABLE,(937) 440-5653,TRANSFER,OPEN,MIAMI,39109,USA,40.0729364759377,-84.2202513410265,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,MIAMI COUNTY SOLID WASTE & RECYCLING FACILITY,NOT AVAILABLE,SWTF018408,not ARC,39109,NA,NA,NA,NA,NA,NA
133,392010,PUT-IN-BAY TOWNSHIP,624 TRENTON AVENUE,PUT-IN-BAY,OH,43456,NOT AVAILABLE,(419) 285-2292,TRANSFER,OPEN,OTTAWA,39123,USA,41.6467313488727,-82.8342769177455,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,PUT-IN-BAY TOWNSHIP,NOT AVAILABLE,SWTF018412,not ARC,39123,NA,NA,NA,NA,NA,NA
135,392009,PORTAGE COUNTY SWMD TRANSFER FACILITY,3588 MOGADORE RD,KENT,OH,44240,NOT AVAILABLE,(330) 678-8808,TRANSFER,OPEN,PORTAGE,39133,USA,41.0875989432367,-81.3853838673716,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,PORTAGE COUNTY SOLID WASTE MANAGEMENT DISTRICT,NOT AVAILABLE,SWTF018415,not ARC,39133,NA,NA,NA,NA,NA,NA
136,392014,RUMPKE WASTE INC RICHLAND COUNTY TRANSFER FACILITY,621 NEWMAN ST,MANSFIELD,OH,44902,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,RICHLAND,39139,USA,40.7752885344383,-82.5072178135512,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,RUMPKE WASTE INC,NOT AVAILABLE,SWTF018417,not ARC,39139,NA,NA,NA,NA,NA,NA
137,391975,RUMPKE WASTE INC CHILLICOTHE RECYCLING & TRANSFER FAC,990 EASTERN AVE,CHILLICOTHE,OH,45601,NOT AVAILABLE,(513) 851-0122,TRANSFER,OPEN,ROSS,39141,USA,39.3194635178272,-82.9364707066578,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,UNVERIFIED,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,"RUMPKE WASTE, INC.",NOT AVAILABLE,SWTF018456,in ARC,39141,39141956500,39141956500,39141956500,391419565004,391419565004,391419565004
138,392024,WASTE MANAGEMENT OF OHIO - CHILLICOTHE,195 SENEY RD,CHILLICOTHE,OH,45601,NOT AVAILABLE,(740) 773-5711,TRANSFER,OPEN,ROSS,39141,USA,39.3644842332608,-82.9723610801997,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://epa.ohio.gov/portals/34/document/facility_lists/lic_cdd.pdf,1556755200000,IMAGERY/OTHER,1583712000000,NOT AVAILABLE,NOT AVAILABLE,12/31/2018,WASTE MANAGEMENT OF OHIO - CHILLICOTHE,NOT AVAILABLE,SWTF018418,in ARC,39141,39141956300,39141956300,39141956300,391419563001,391419563001,391419563001
